africa,Africa/Abidjan
africa,Africa/Accra
africa,Africa/Addis_Ababa
africa,Africa/Algiers
africa,Africa/Asmara
africa,Africa/Bamako
africa,Africa/Bangui
africa,Africa/Banjul
africa,Africa/Bissau
africa,Africa/Blantyre
africa,Africa/Brazzaville
africa,Africa/Bujumbura
africa,Africa/Cairo
africa,Africa/Casablanca
europe,Africa/Ceuta
africa,Africa/Conakry
africa,Africa/Dakar
africa,Africa/Dar_es_Salaam
africa,Africa/Djibouti
africa,Africa/Douala
africa,Africa/El_Aaiun
africa,Africa/Freetown
africa,Africa/Gaborone
africa,Africa/Harare
africa,Africa/Johannesburg
africa,Africa/Juba
africa,Africa/Kampala
africa,Africa/Khartoum
africa,Africa/Kigali
africa,Africa/Kinshasa
africa,Africa/Lagos
africa,Africa/Libreville
africa,Africa/Lome
africa,Africa/Luanda
africa,Africa/Lubumbashi
africa,Africa/Lusaka
africa,Africa/Malabo
africa,Africa/Maputo
africa,Africa/Maseru
africa,Africa/Mbabane
africa,Africa/Mogadishu
africa,Africa/Monrovia
africa,Africa/Nairobi
africa,Africa/Ndjamena
africa,Africa/Niamey
africa,Africa/Nouakchott
africa,Africa/Ouagadougou
africa,Africa/Porto-Novo
africa,Africa/Sao_Tome
africa,Africa/Tripoli
africa,Africa/Tunis
africa,Africa/Windhoek
northamerica,America/Adak
northamerica,America/Anchorage
northamerica,America/Anguilla
northamerica,America/Antigua
southamerica,America/Araguaina
southamerica,America/Argentina/Buenos_Aires
southamerica,America/Argentina/Catamarca
southamerica,America/Argentina/Cordoba
southamerica,America/Argentina/Jujuy
southamerica,America/Argentina/La_Rioja
southamerica,America/Argentina/Mendoza
southamerica,America/Argentina/Rio_Gallegos
southamerica,America/Argentina/Salta
southamerica,America/Argentina/San_Juan
southamerica,America/Argentina/San_Luis
southamerica,America/Argentina/Tucuman
southamerica,America/Argentina/Ushuaia
southamerica,America/Aruba
southamerica,America/Asuncion
northamerica,America/Atikokan
southamerica,America/Bahia
northamerica,America/Bahia_Banderas
northamerica,America/Barbados
southamerica,America/Belem
northamerica,America/Belize
northamerica,America/Blanc-Sablon
southamerica,America/Boa_Vista
southamerica,America/Bogota
northamerica,America/Boise
northamerica,America/Cambridge_Bay
southamerica,America/Campo_Grande
northamerica,America/Cancun
southamerica,America/Caracas
southamerica,America/Cayenne
northamerica,America/Cayman
northamerica,America/Chicago
northamerica,America/Chihuahua
northamerica,America/Costa_Rica
northamerica,America/Creston
southamerica,America/Cuiaba
southamerica,America/Curacao
europe,America/Danmarkshavn
northamerica,America/Dawson
northamerica,America/Dawson_Creek
northamerica,America/Denver
northamerica,America/Detroit
northamerica,America/Dominica
northamerica,America/Edmonton
southamerica,America/Eirunepe
northamerica,America/El_Salvador
southamerica,America/Fortaleza
northamerica,America/Glace_Bay
europe,America/Godthab
northamerica,America/Goose_Bay
northamerica,America/Grand_Turk
northamerica,America/Grenada
northamerica,America/Guadeloupe
northamerica,America/Guatemala
southamerica,America/Guayaquil
southamerica,America/Guyana
